,Year,League,City,Team,Owner,OverlappedOwnership,Wins,Ties,Losses,PlayoffWins,PlayoffLosses,DivisionRank,WonConference,WonLeague,PointsScoredPerGame,PointsScoredRank,PointsConcededPerGame,PointsConcededRank,Points,PlayoffTies,StadiumLatitude,StadiumLongitude,Allstars,OverlapNBA,OverlapNFL,OverlapNHL,OverlapMLB,OverlapMLS
0,1980,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,31,,51,0,0,4,0,0,104.9,19/23,108.0,15/23,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
1,1981,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,42,,40,0,2,2,0,0,101.0,23/23,100.5,1/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
2,1982,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,1,2,2,0,0,101.6,19/23,102.6,5/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
3,1983,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,40,,42,2,3,3,0,0,101.5,23/23,102.8,2/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
4,1984,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,34,,48,0,0,5,0,0,106.6,20/23,108.1,4/23,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
5,1985,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,4,5,2,0,0,108.6,17/23,106.2,6/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
6,1986,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,57,,25,4,5,1,0,0,110.0,12/23,102.8,1/23,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
7,1987,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,6,6,3,0,0,107.9,13/23,104.3,4/23,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
8,1988,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,52,,30,2,3,3,0,0,111.0,9/25,106.1,7/25,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
9,1989,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,41,,41,0,0,6,0,0,108.5,11/27,107.5,17/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
10,1990,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,2,3,4,0,0,109.8,8/27,109.0,23/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
11,1991,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,38,,44,0,0,5,0,0,106.2,11/27,107.7,21/27,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
12,1992,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,43,,39,0,3,4,0,0,107.5,9/27,108.4,21/27,,,33.7575,-84.39666666666670,1.0,0,0,0,1,0
13,1993,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,57,,25,5,6,1,0,0,101.4,11/27,96.2,4/27,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
14,1994,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,42,,40,0,3,5,0,0,96.6,24/27,95.3,3/27,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
15,1995,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,46,,36,4,6,4,0,0,98.3,18/29,97.1,10/29,,,33.7575,-84.39666666666670,0.0,0,0,0,1,0
16,1996,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,56,,26,4,6,2,0,0,94.8,23/29,89.4,4/29,,,33.7575,-84.39666666666670,2.0,0,0,0,1,0
17,1997,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,50,,32,1,3,4,0,0,95.9,15/29,92.3,8/29,,,33.75805555555560,-84.40111111111110,2.0,0,0,0,1,0
18,1998,NBA,Atlanta,Hawks,Ted Turner (Turner Broadcasting),1,31,,19,3,6,2,0,0,86.3,28/29,83.4,1/29,,,33.75805555555560,-84.40111111111110,,0,0,0,1,0
